"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"91","SMAN 1 CIRUAS","Kab. Serang","Banten",13,1,0,1,20,0,0,0
"92","SMAN 1 CURUGBITUNG","Kab. Lebak","Banten",0,0,0,0,1,0,0,0
"93","SMAN 1 GUNUNG KENCANA","Kab. Lebak","Banten",3,0,0,0,3,0,0,0
"94","SMAN 1 JAWILAN","Kab. Serang","Banten",5,0,0,0,9,0,1,1
"95","SMAN 1 KABUPATEN TANGERANG","Kab. Tangerang","Banten",1,0,0,0,4,0,0,0
"96","SMAN 1 KIBIN","Kab. Serang","Banten",9,0,0,0,5,0,1,1
"97","SMAN 1 KOTA SERANG","Kota Serang","Banten",10,0,0,0,6,0,0,0
"98","SMAN 1 KRAGILAN","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"99","SMAN 1 KRAGILAN KJ SMAN 1 CIRUAS","Kab. Serang","Banten",3,0,0,0,0,0,0,0
"100","SMAN 1 KRAMAT WATU","Kab. Serang","Banten",7,1,0,1,7,0,0,0
"101","SMAN 1 LEUWIDAMAR","Kab. Lebak","Banten",1,0,0,0,2,0,0,0
"102","SMAN 1 MALINGPING","Kab. Lebak","Banten",18,2,1,3,8,1,0,1
"103","SMAN 1 MANCAK","Kab. Serang","Banten",4,0,0,0,2,0,0,0
"104","SMAN 1 MUNCANG","Kab. Lebak","Banten",2,0,0,0,0,0,0,0
"105","SMAN 1 PABUARAN","Kab. Serang","Banten",30,1,0,1,27,0,0,0
"106","SMAN 1 PADARINCANG","Kab. Serang","Banten",4,0,0,0,1,0,0,0
"107","SMAN 1 PAMARAYAN","Kab. Serang","Banten",2,0,0,0,12,0,1,1
"108","SMAN 1 PANDEGLANG","Kab. Pandeglang","Banten",2,0,0,0,5,0,0,0
"109","SMAN 1 PANGGARANGAN","Kab. Lebak","Banten",1,0,0,0,3,0,0,0
"110","SMAN 1 PETIR","Kab. Serang","Banten",5,0,0,0,7,0,0,0
"111","SMAN 1 PONTANG","Kab. Serang","Banten",13,3,2,5,4,0,1,1
"112","SMAN 1 RANGKASBITUNG","Kab. Lebak","Banten",9,0,0,0,12,0,0,0
"113","SMAN 1 SUNGAYANG","Kab. Tanah Datar","Sumatera Barat",0,0,0,0,1,0,0,0
"114","SMAN 1 TANGERANG","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
"115","SMAN 1 TIRTAYASA","Kab. Serang","Banten",8,2,0,2,6,0,1,1
"116","SMAN 1 WANASALAM","Kab. Lebak","Banten",3,0,0,0,2,1,0,1
"117","SMAN 1 WARINGINKURUNG","Kab. Serang","Banten",13,0,0,0,10,0,0,0
"118","SMAN 1 WARUNGGUNUNG","Kab. Lebak","Banten",5,0,0,0,4,0,0,0
"119","SMAN 10 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",0,0,0,0,3,0,0,0
"120","SMAN 10 TANGERANG","Kota Tangerang","Banten",0,0,0,0,5,0,1,1
"121","SMAN 11 KABUPATEN TANGERANG","Kab. Tangerang","Banten",20,1,0,1,16,0,0,0
"122","SMAN 11 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",0,0,0,0,2,0,0,0
"123","SMAN 11 PANDEGLANG","Kab. Pandeglang","Banten",1,0,0,0,0,0,0,0
"124","SMAN 11 TANGERANG","Kota Tangerang","Banten",0,0,0,0,5,0,0,0
"125","SMAN 12 KABUPATEN TANGERANG","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
"126","SMAN 12 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",4,0,1,1,3,0,0,0
"127","SMAN 12 TANGERANG","Kota Tangerang","Banten",4,0,0,0,3,0,0,0
"128","SMAN 13 KABUPATEN TANGERANG","Kab. Tangerang","Banten",4,0,0,0,3,0,0,0
"129","SMAN 13 TANGERANG","Kota Tangerang","Banten",0,0,0,0,3,0,0,0
"130","SMAN 14 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,4,0,0,0
"131","SMAN 14 PANDEGLANG","Kab. Pandeglang","Banten",3,0,0,0,3,0,2,2
"132","SMAN 14 TANGERANG","Kota Tangerang","Banten",3,0,0,0,11,0,0,0
"133","SMAN 15 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"134","SMAN 15 PANDEGLANG","Kab. Pandeglang","Banten",6,2,0,2,6,0,0,0
"135","SMAN 15 TANGERANG","Kota Tangerang","Banten",2,0,0,0,2,0,0,0
"136","SMAN 16 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,4,0,1,1
"137","SMAN 17 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"138","SMAN 17 PANDEGLANG","Kab. Pandeglang","Banten",3,0,0,0,2,0,0,0
"139","SMAN 18 KABUPATEN TANGERANG","Kab. Tangerang","Banten",3,0,0,0,9,1,0,1
"140","SMAN 19 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,2,0,0,0
